Text, Codename, Path, 
Additional Texture Search Path..., M1296, Additional Texture Search Path..., 
Auto Rotate, M1247, Animate Options\Auto Rotate, 
Cyclic, M1245, Animate Options\Cyclic, 
Forward, M1240, Animate Options\Forward, 
Options..., M1243, Animate Options\Options..., 
Ping-Pong, M1246, Animate Options\Ping-Pong, 
Play All, M1252, Animate Options\Play All, 
Play, M1251, Animate Options\Play Current, 
, M1250, Animate Options\Play Next, 
Begin, M1249, Animate Options\Play Prev, 
Reverse, M1242, Animate Options\Reverse, 
Simple, M1244, Animate Options\Simple, 
Stop, M1241, Animate Options\Stop, 
Colors..., M2404, Background\Colors, 
Opaque, M1254, Background\Opaque, 
Transparent, M1253, Background\Transparent, 
Bottom Color, M1259, Bottom Color, 
Fly, M1704, CameraFly, 
New Conversation, M4531, Collaboration 0, 
New Conversation, M4532, Collaboration 1, 
New Conversation, M4533, Collaboration 2, 
New Conversation, M4534, Collaboration 3, 
New Conversation, M4535, Collaboration 4, 
New Conversation, M4536, Collaboration 5, 
New Conversation, M4537, Collaboration 6, 
New Conversation, M4538, Collaboration 7, 
New Conversation, M4539, Collaboration 8, 
New Conversation, M4540, Collaboration 9, 
Screen Coordinate System, M1401, Coordinate System\Screen, 
World Coordinate System, M1400, Coordinate System\World, 
Flip, M1712, Cross Section Flip, 
Reset, M1713, Cross Section Reset, 
X, M1709, Cross Section X, 
Y, M1710, Cross Section Y, 
Z, M1711, Cross Section Z, 
Settings, M1714, CrossSectionSettings, 
Default View, M1170, Default View, 
Create Defect Location Mark, M1406, DefectLocationMark\Create, 
Delete Defect Location Mark, M1408, DefectLocationMark\Delete, 
, M1407, DefectLocationMark\Visibility, 
, M1239, Delete\All Dimensions, 
, M1238, Delete\All Markups, 
Selected Dimensions, M1237, Delete\Selected Markups And Dimensions, 
, M1286, Disable FlyTo, 
Component Outline, M1409, DisplayOutline, 
Show Back Facing Geometry, M1260, Display\2 Sided Rendering, 
3DX Input Settings, M1335, Display\3D Input, 
Auto Exposure Control, M1300, Display\Auto Exposure Control, 
Bones, M1261, Display\Bones, 
Use Color Profile (Reload needed), M1301, Display\ColorProfile, 
Cross Section, M1262, Display\Cross Section, 
Decrease Exposure, M1299, Display\Decrease Exposure, 
Default Surface Material, M1277, Display\Default Material, 
, M1501, Display\Dimensions\Hide, 
, M1500, Display\Dimensions\Show, 
Fog, M1263, Display\Fog, 
Grid, M1264, Display\Grid, 
Increase Exposure, M1298, Display\Increase Exposure, 
Lights and Cameras, M1265, Display\Lights and Cameras, 
Load Environment Map..., M1303, Display\Load Env Map, 
, M1503, Display\Markups\Hide, 
, M1502, Display\Markups\Show, 
Scene Bounding Box, M1268, Display\Scene Bounding Box, 
Shadow, M1267, Display\Shadow, 
Subtitle, M1302, Display\Subtitle, 
Textures, M1269, Display\Textures, 
Transparency On Textures, M1272, Display\Transparency On Textures, 
Vertices, M1270, Display\Vertices, 
World Axes, M1271, Display\World Axes, 
Model Render Mode, M2900, Dummy Name 1, 
, M2915, Dummy Name 10, 
, M2916, Dummy Name 10.1, 
Look around, M2920, Dummy Name 11, 
Set walk start position, M2921, Dummy Name 12, 
Open File - Visual Browse, M4575, Dummy Name 13, 
Zoom Window, M2901, Dummy Name 2, 
, M2902, Dummy Name 3, 
X-Ray, M2903, Dummy Name 4, 
, M2910, Dummy Name 5, 
, M2911, Dummy Name 6, 
, M2912, Dummy Name 7, 
, M2913, Dummy Name 8, 
, M2914, Dummy Name 9, 
, M1285, Enable FlyTo, 
, M1288, Escape, 
Export..., M1346, Export Scene, 
Flip Board, M1404, FlipBoard, 
Full Screen, M1171, Full Screen, 
About Deep Publish, M1219, Help\About Deep Publish, 
About SAP 3D Visual Enterprise Viewer, M1218, Help\About SAP Visual Enterprise Viewer, 
Version Information, M1220, Help\About Version, 
&Community Forum, M1351, Help\CommunityForum, 
Deep Publish Help, M1217, Help\Deep Publish Help, 
View Import Log, M1350, Help\ImportLog, 
HTTP Proxy Settings, M1333, Help\ProxySettings, 
SAP Enterprise Viewer Help, M1216, Help\SAP Visual Enterprise Viewer Help, 
Settings, M1214, Help\Settings, 
Hide All Objects, M4530, Hide All Objects, 
Hide Selection, M1185, Hide Selection, 
Hide Unselected, M1184, Hide Unselected, 
, M1287, HideTransparentObjects, 
Home, M1169, Home, 
Illustration Bottom, M1359, Illustration Bottom, 
Illustration Top, M1358, Illustration Top, 
Image Mode, M1172, Image Mode, 
Add Optional Modules..., M4529, Install wizard, 
&Invert Selection, M1183, Invert Selection, 
Blue Lights, M1227, Lights\Blue Lights, 
CAD Optimized Lights, M1230, Lights\CAD OptimizedLights, 
Colored Lights Blue/Yellow, M1226, Lights\Colored Lights Blue/Green, 
Colored Lights Red/Green, M1225, Lights\Colored Lights Red/Green, 
Cube Lights, M1229, Lights\Cube Lights, 
Day Lights, M1223, Lights\Day Lights, 
Decrease Brightness, M1234, Lights\Decrease Brightness, 
Hard Lights, M1224, Lights\Hard Lights, 
Increase Brightness, M1233, Lights\Increase Brightness, 
Lights From File, M1221, Lights\Lights From File, 
Marsiano Lights, M1228, Lights\Marsiano Lights, 
No Lights, M1232, Lights\No Lights, 
Restore Brightness, M1235, Lights\Restore Brightness, 
Single Light From Eye, M1231, Lights\Single Light From Eye, 
Specular Lights, M1236, Lights\Specular Lights, 
White Lights, M1222, Lights\White Lights, 
Module Activation..., M1297, Module Activation, 
, M1703, Mouse Mode\Switcher, 
, M1181, Object Properties, 
Page Color, M2403, Page Color, 
Page Layout, M1723, Page Layout, 
Pan, M1702, Pan, 
Use Parent Part Name, M1278, Parent Label, 
Print, M1279, Print Dialog, 
, M1707, Pull apart, 
, M1708, Reassemble, 
Bounding Box, M1206, Render Mode\Bounding Box, 
DirectX 8.0, M1198, Render Mode\Display Renderer\DirectX 8.0, 
DirectX 9.0, M1197, Render Mode\Display Renderer\DirectX 9.0, 
HDR Renderer, M1215, Render Mode\Display Renderer\HDRGL, 
OpenGL, M1196, Render Mode\Display Renderer\OpenGL, 
Software, M1195, Render Mode\Display Renderer\Software, 
Hidden Wireframe, M1211, Render Mode\Hidden Wireframe, 
Line Illustration, M1204, Render Mode\Line Illustration, 
Shaded Illustration, M1205, Render Mode\Shaded Illustration, 
Shaded Vertices, M1213, Render Mode\Shaded Vertices, 
Shaded Wireframe, M1210, Render Mode\Shaded Wireframe, 
0°, M1187, Render Mode\Smoothing\0, 
180 (No Smooth Groups), M1192, Render Mode\Smoothing\180 No Smooth Groups, 
20°, M1188, Render Mode\Smoothing\20, 
30°, M1189, Render Mode\Smoothing\30, 
35°, M1190, Render Mode\Smoothing\35, 
90°, M1191, Render Mode\Smoothing\90, 
Custom Angle, M1193, Render Mode\Smoothing\Custom Angle, 
Smoothing Disabled, M1194, Render Mode\Smoothing\Smoothing Disabled, 
Use Existing Smoothing Normals, M1186, Render Mode\Smoothing\Use Existing Smoothing Normals, 
Solid, M1200, Render Mode\Solid, 
Solid Outline, M1203, Render Mode\Solid Outline, 
Solid Wireframe, M1202, Render Mode\Solid Wireframe, 
Transparent, M1201, Render Mode\Transparent, 
Transparent Bounding Box, M1199, Render Mode\Transparent Bounding Box, 
Transparent Bounding Box Outline, M1207, Render Mode\Transparent Bounding Box Outline, 
Transparent Wireframe, M1208, Render Mode\Transparent Wireframe, 
Vertices, M1212, Render Mode\Vertices, 
Wireframe, M1209, Render Mode\Wireframe, 
Enable, M1275, Rollover Labels, 
Rollover Toolbars, M1276, Rollover Toolbars, 
Orbit, M1701, Rotate, 
Fit to screen, M1606, Rotate Flip\Best Fit, 
Flip Horizontally, M1603, Rotate Flip\Flip Horizontally, 
Flip Vertically, M1604, Rotate Flip\Flip Vertically, 
Grayscale, M1605, Rotate Flip\Grayscale, 
Smoothing, M1608, Rotate Flip\No Filter, 
Original size (1:1), M1607, Rotate Flip\Original Size, 
Rotate 180°, M1601, Rotate Flip\Rotate 180, 
Rotate 90° Clockwise, M1602, Rotate Flip\Rotate 270, 
Rotate 90° Counter Clockwise, M1600, Rotate Flip\Rotate 90, 
, M1280, Rotate Image, 
, M1281, Rotate View 0, 
, M1283, Rotate View 180, 
, M1284, Rotate View 270, 
, M1282, Rotate View 90, 
, M1182, Scene Properties, 
, M1700, Scene tree, 
Select All, M1178, Select All, 
Select All, M8179, Select None, 
Search..., M1289, Select Objects, 
Show All Objects, M1179, Show All Objects, 
Toggle Visibility, M1180, Toggle Visibility, 
Top Color, M1258, Top Color, 
, M1290, TreeView\Collapse Hierarchy, 
Turntable, M1720, Turntable, 
Use Colors Set in File, M2402, Use colors set in source file, 
LBA (Left-Bottom-Aft), M1131, View\(12°/12°) Dimetric\LBA, 
LBF (Left-Bottom-Front), M1130, View\(12°/12°) Dimetric\LBF, 
LTA (Left-Top-Aft), M1127, View\(12°/12°) Dimetric\LTA, 
LTF (Left-Top-Front), M1126, View\(12°/12°) Dimetric\LTF, 
RBA (Right-Bottom-Aft), M1132, View\(12°/12°) Dimetric\RBA, 
RBF (Right-Bottom-Front), M1133, View\(12°/12°) Dimetric\RBF, 
RTA (Right-Top-Aft), M1128, View\(12°/12°) Dimetric\RTA, 
RTF (Right-Top-Front), M1129, View\(12°/12°) Dimetric\RTF, 
LBA (Left-Bottom-Aft), M1155, View\(15°/35°) Trimetric\LBA, 
LBF (Left-Bottom-Front), M1154, View\(15°/35°) Trimetric\LBF, 
LTA (Left-Top-Aft), M1151, View\(15°/35°) Trimetric\LTA, 
LTF (Left-Top-Front), M1150, View\(15°/35°) Trimetric\LTF, 
RBA (Right-Bottom-Aft), M1156, View\(15°/35°) Trimetric\RBA, 
RBF (Right-Bottom-Front), M1157, View\(15°/35°) Trimetric\RBF, 
RTA (Right-Top-Aft), M1152, View\(15°/35°) Trimetric\RTA, 
RTF (Right-Top-Front), M1153, View\(15°/35°) Trimetric\RTF, 
LBA (Left-Bottom-Aft), M1147, View\(42°/7°) Dimetric\LBA, 
LBF (Left-Bottom-Front), M1146, View\(42°/7°) Dimetric\LBF, 
LTA (Left-Top-Aft), M1143, View\(42°/7°) Dimetric\LTA, 
LTF (Left-Top-Front), M1142, View\(42°/7°) Dimetric\LTF, 
RBA (Right-Bottom-Aft), M1148, View\(42°/7°) Dimetric\RBA, 
RBF (Right-Bottom-Front), M1149, View\(42°/7°) Dimetric\RBF, 
RTA (Right-Top-Aft), M1144, View\(42°/7°) Dimetric\RTA, 
RTF (Right-Top-Front), M1145, View\(42°/7°) Dimetric\RTF, 
LBA (Left-Bottom-Aft), M1123, View\30° Isometric\LBA, 
LBF (Left-Bottom-Front), M1122, View\30° Isometric\LBF, 
LTA (Left-Top-Aft), M1119, View\30° Isometric\LTA, 
LTF (Left-Top-Front), M1118, View\30° Isometric\LTF, 
RBA (Right-Bottom-Aft), M1124, View\30° Isometric\RBA, 
RBF (Right-Bottom-Front), M1125, View\30° Isometric\RBF, 
RTA (Right-Top-Aft), M1120, View\30° Isometric\RTA, 
RTF (Right-Top-Front), M1121, View\30° Isometric\RTF, 
LBA (Left-Bottom-Aft), M1139, View\45° Isometric (Military)\LBA, 
LBF (Left-Bottom-Front), M1138, View\45° Isometric (Military)\LBF, 
LTA (Left-Top-Aft), M1135, View\45° Isometric (Military)\LTA, 
LTF (Left-Top-Front), M1134, View\45° Isometric (Military)\LTF, 
RBA (Right-Bottom-Aft), M1140, View\45° Isometric (Military)\RBA, 
RBF (Right-Bottom-Front), M1141, View\45° Isometric (Military)\RBF, 
RTA (Right-Top-Aft), M1136, View\45° Isometric (Military)\RTA, 
RTF (Right-Top-Front), M1137, View\45° Isometric (Military)\RTF, 
LBA (Left-Bottom-Aft), M1163, View\48° Trimetric\LBA, 
LBF (Left-Bottom-Front), M1162, View\48° Trimetric\LBF, 
LTA (Left-Top-Aft), M1159, View\48° Trimetric\LTA, 
LTF (Left-Top-Front), M1158, View\48° Trimetric\LTF, 
RBA (Right-Bottom-Aft), M1164, View\48° Trimetric\RBA, 
RBF (Right-Bottom-Front), M1165, View\48° Trimetric\RBF, 
RTA (Right-Top-Aft), M1160, View\48° Trimetric\RTA, 
RTF (Right-Top-Front), M1161, View\48° Trimetric\RTF, 
Camera 0, M1102, View\Camera1, 
Camera 9, M1111, View\Camera10, 
Camera 1, M1103, View\Camera2, 
Camera 2, M1104, View\Camera3, 
Camera 3, M1105, View\Camera4, 
Camera 4, M1106, View\Camera5, 
Camera 5, M1107, View\Camera6, 
Camera 6, M1108, View\Camera7, 
Camera 7, M1109, View\Camera8, 
Camera 8, M1110, View\Camera9, 
Aft (Back), M1116, View\Orthographic\Aft (Back), 
Bottom, M1113, View\Orthographic\Bottom, 
Front, M1117, View\Orthographic\Front, 
Left, M1114, View\Orthographic\Left, 
Right, M1115, View\Orthographic\Right, 
Top, M1112, View\Orthographic\Top, 
Perspective, M1101, View\Perspective, 
Quality, M1295, Viewport Optimization\Quality, 
Speed, M1294, Viewport Optimization\Speed, 
Load Model B, M1403, VisualCompareLoadModelB, 
, M1402, VisualCompareMode, 
Walk, M1721, Walk, 
World View, M1405, WorldView, 
None, M1716, X-Ray None, 
Selected, M1718, X-Ray Selected, 
Settings..., M1719, X-Ray Settings, 
Unselected, M1717, X-Ray Unselected, 
Zoom to Active Object, M1166, Zoom Active Object, 
Zoom All, M1168, Zoom All, 
Best Fit, M1174, Zoom Best Fit, 
Zoom In, M1175, Zoom In, 
Zoom Out, M1176, Zoom Out, 
Zoom To Active Object, M1411, Zoom To Active Object, 
Zoom Visible, M1167, Zoom Visible, 
Zoom Window, M1705, Zoom Window, 
